,album_id,album_artist,album_name
297,3087,1950,"Best From The West - Modern Sounds From California, Vol. 1"
298,3088,2082,Lotte Lenya Sings Kurt Weill - The Seven Deadly Sins / Berlin Theatre Songs
299,3089,68,Diz & Getz
300,3090,727,Hoagy Sings Carmichael
301,3091,679,Bing Sings Whilst Bregman Swings
302,3092,136,Pastel Moods
303,173,26,Miles Davis (Vol. 2)
304,3093,26,Dig [Original Jazz Classics Remasters] (OJC Remaster)
305,165,74,This Lusty Land!
306,164,143,Belafonte
307,166,813,Just Sings
308,3094,2083,Songs of Christmas
309,3095,245,Vivaldi: The Four Seasons; Concertos for Two and Three Violins
310,176,127,Dinah! (Expanded Edition)
311,3096,838,Canta Celia Cruz
312,174,37,Day By Day (with Paul Weston & His Music From Hollywood)
313,3097,102,The Charlie Parker Story
314,3098,2084,Gospel Train (Expanded Edition)
315,3099,2059,Sings Ballads & Blues
316,3100,63,Date With The King (with The Benny Goodman Sextet)
317,3101,2085,Miles Davis And Milt Jackson Quintet/Sextet
318,3102,2086,Echos Down the Hall
319,3103,2074,C.I.D. (Original Motion Picture Soundtrack)
320,3104,2087,Love Songs for Friends and Foes
321,3105,2088,My Fair Lady (Original London Cast Recording)
322,3106,2089,Canta
323,3107,68,The Champ
324,3108,78,Pithecanthropus Erectus
325,3109,41,THE MUSIC OF AMERICA: Inventing Jazz - Dave Brubeck
326,3110,791,Bless This House
327,3111,2090,Moonlight In Vermont
328,3112,2091,Blue Jean Bop
329,3113,2092,The Jazz Messengers
330,3114,838,Canta Nelson Pinedo
331,3115,175,Lonely Girl
332,3116,797,Miles: The New Miles Davis Quintet (Rudy Van Gelder Remaster)
333,3117,2093,El Corneta
334,3118,26,The Best Of Miles Davis
335,3119,26,Collectors' Items (RVG Remaster)
336,3120,2094,Moondog
337,3121,2095,Tenor Madness
338,3122,95,Ray Price - 16 Biggest Hits
339,3123,3,"Bach: Goldberg Variations, BWV 988"
340,3124,616,The Piano Style of Nat King Cole
341,3125,279,Songs Of Faith: Aretha Gospel
342,3126,849,Jazz Message #2
343,3127,1956,Paying Guest (Original Motion Picture Soundtrack)
344,3128,164,New Jazz Conceptions
345,3129,2096,Forbidden Planet
346,3130,770,Fontessa
347,3131,26,Miles Davis (Vol. 1)
348,3132,79,Plus Four
349,3133,2097,New New Orleans Jazz
350,200,143,An Evening with Belafonte
351,3134,26,Miles Ahead
352,3135,26,Bags' Groove (Rudy Van Gelder Remaster)
353,3136,2098,Funny Face (Original Motion Picture Soundtrack / Expanded Edition)
354,3137,2099,Jimmie Rodgers
355,3138,179,Stan Getz And The Oscar Peterson Trio
356,3139,2100,LaVern Baker
357,3140,179,Getz Meets Mulligan In Hi-Fi
358,3141,31,West Side Story (Original Broadway Cast Recording)
359,3142,143,Belafonte Sings of The Caribbean
360,3143,2101,Ruth Brown
361,3144,197,Baker's Holiday
362,3145,26,Walkin'
363,3146,616,Just One Of Those Things
364,3147,208,Coltrane [Rudy Van Gelder Remaster]
365,3148,2102,Now Is The Caroling Season
366,3149,797,Cookin' With The Miles Davis Quintet
367,3150,78,The Clown
368,3151,843,Art Pepper Meets The Rhythm Section (OJC Remaster)
369,3152,47,'S Marvelous
370,3153,737,There'll Always Be a Christmas (Expanded Mono Edition)
371,3154,1,Pretty Baby
372,3155,2103,Calypso - Is Like So...!
373,3156,2104,Blues In Time
374,3157,79,Sonny Side Up
375,3158,106,Swingin' Easy
376,3159,2105,Anita Sings The Most
377,3160,2106,Monk's Music [Original Jazz Classics Remasters]
378,3161,106,Sarah Vaughan Sings George Gershwin
379,3162,821,Volume 3
380,3163,824,Rudolph The Red Nosed Reindeer / Shock-A-Doo [Digital 45]
381,3164,1950,Woman on Top - OMPS
382,3165,2091,Gene Vincent And The Blue Caps
383,3166,2107,Jutta Hipp With Zoot Sims (Expanded Edition)
384,3167,50,Thelonious Himself
385,3168,18,The Man I Love
386,3169,23,Love Songs
387,3170,1950,Silk Stockings (Original Motion Picture Soundtrack) [Deluxe Edition]
388,3171,2108,Swing's The Thing
389,3172,116,The Genius Of Coleman Hawkins (Expanded Edition)
390,3173,106,Sarah Vaughan At Mister Kelly's (Live / Expanded Edition)
391,3174,529,Johnny Cash with His Hot and Blue Guitar (2017 Definitive Expanded Remastered Edition)
392,3175,50,Brilliant Corners
393,3176,2109,Konitz Meets Mulligan
394,3177,2110,Abd El Halim Hafez
395,3178,10,Tony
396,3179,187,The Wildest Show At Lake Tahoe
397,3180,168,The Blues
398,3181,2053,The Poll Winners
399,3182,2000,Chori Chori (Original Motion Picture Soundtrack)
400,3183,529,The Fabulous Johnny Cash
401,239,835,Oh Lonesome Me
402,224,750,Blues-A-Plenty
403,225,830,Cool Struttin' (Remastered / Rudy Van Gelder Edition)
404,236,833,Blues From The Gutter
405,227,831,Christmas Carols
406,249,838,Navidades Con La Sonora Matancera
407,231,832,Modern Art
408,3184,432,Vicente Fernandez / Javier Solis
409,233,175,Julie Is Her Name
410,238,74,The Star Carol
411,3185,7,Glenn Gould plays Mozart: The Piano Sonatas (No. 10: Recordings of 1958 & 1970); Fantasias K. 397 & K. 475; Fantasia & Fugue K. 394; Piano Concerto No. 24 K. 491
412,3186,766,Hawaiian Sunset
413,3187,183,Songs Our Daddy Taught Us
414,245,208,Soultrane
415,3188,0,Come Fly With Me (Mono Version)
416,3189,162,The Spectacular Johnny Horton
417,244,116,Soul
418,3190,2111,Rock 'N Roll
419,3191,2084,Gospel Train (Expanded Edition)
420,3192,797,Relaxin' With The Miles Davis Quintet
421,3193,2112,Fever
422,3194,831,La Paloma
423,3195,5,Louis And The Good Book
424,3196,2092,Art Blakey's Jazz Messengers With Thelonious Monk (Deluxe Edition)
425,3197,269,The Blues Are Brewin'
426,3198,2,Saturday Night with Mr. C.
427,3199,2113,Christmas Carols
428,3200,2114,Copland: Appalachian Spring & Gould: Spirituals for String Choir and Orchestra
429,3201,5,Louis Under The Stars
430,3202,766,The Very Best of Arthur Lyman (The Sensual Sounds of Exotica)
431,3203,795,Frankie Laine's Greatest Hits
432,3204,831,Sail Along Silv'ry Moon
433,3205,208,Blue Train
434,3206,0,Sings For Only The Lonely (2018 Stereo Mix)
435,3207,2115,Greetings From The McGuire Sisters (Expanded Edition)
436,3208,2116,Canta Música de Aca de este Lado
437,3209,45,La Bohème - Puccini
438,3210,11,Tchaikovsky: 1812 Overture; Marche Slave; Romeo and Juliet; Capriccio Italien; Hamlet [Expanded Edition]
439,3211,187,Las Vegas Prima Style
440,3212,44,Canciones De Sus Peliculas
441,3213,810,"Volume IV (Live At The Spotlite Club, Washington, D.C./1958)"
442,3214,2117,Get a Job
443,3215,188,"Black, Brown, & Beige (with Mahalia Jackson)"
444,3216,2000,Anari (Original Motion Picture Soundtrack)
445,3217,2118,Reminiscencias
446,3218,2076,Not So Dukish
447,3219,4,Sings Sweet Songs For Swingers
448,3220,1956,Solva Saal (Original Motion Picture Soundtrack)
449,3221,2087,"American Favorite Ballads, Vol. 2"
450,3222,44,Dos Idolos Cantando
451,275,2119,Mario Lanza Sings Christmas Carols
452,279,845,The Enchanted Sea
453,278,844,An Introduction to Wilbert Harrison
454,3223,837,Kingston Trio At Large
455,3224,579,A Date With Elvis
456,3225,1,Sleep Warm
457,280,1950,The Graduate - Music From The Broadway Comedy
458,3226,2120,The Exciting Lloyd Price
459,3227,176,Music From Peter Gunn
460,3228,192,Ritchie
461,3229,26,Porgy And Bess
462,3230,529,Hymns by Johnny Cash
463,3231,2121,More Of Tom Lehrer
464,3232,749,Lester Flatt & Earl Scruggs With The Foggy Mountain Boys
465,3233,122,A Jazz Portrait Of Frank Sinatra
466,3234,136,Oscar Peterson Plays The Cole Porter Songbook
467,3235,797,Workin' With The Miles Davis Quintet
468,3236,2122,Red River Rock
469,3237,24,Handel: Greatest Hits
470,3238,171,The Mormon Tabernacle Choir's Greatest Hits - 22 Best-Loved Favorites
471,3239,876,White Christmas
472,3240,2123,Sound Sun Pleasure
473,3241,826,My Gentleman Friend
474,3242,2124,Latin Kick
475,3243,2125,The Shape Of Jazz To Come
476,3244,2121,An Evening Wasted With Tom Lehrer
477,3245,44,Añoranzas
478,3246,847,Cool Water And Seventeen Timeless Western Favorites
479,3247,10,Strike Up The Band (Digitally Remastered)
480,3248,2126,Down And Out Blues
481,3249,2104,What Is There To Say?
482,3250,249,At Town Hall
483,3251,2127,The Brothers Four
484,3252,78,Mingus Ah Um
485,3253,44,Interpreta a J. Alfredo
486,3254,2128,Here's Larry Williams
487,3255,728,"The Complete Columbia Recording Sessions, Vol. 6 - 1959-1963"
488,3256,529,Greatest
489,3257,809,Super Hits
490,3258,2129,Bouquet
491,3259,2130,The Hottest New Group in Jazz
492,3260,136,Oscar Peterson Plays The George Gershwin Song Book
493,3261,2131,Poetry for the Beat Generation (with Steve Allen)
494,3262,826,Sings Comden and Green
495,3263,209,"Basie Swings, Bennett Sings"
496,3264,845,Quiet Village
497,3265,933,Try Me
498,3266,2132,The Sonny Side
499,3267,1950,Sleeping Beauty
500,317,855,Satan Is Real
501,303,826,Soubrette Sings Broadway Hit Songs
502,3268,2133,Leyendas Solamente Los Mejores
503,3269,2134,O Holy Night: Christmas With Marilyn Horne and The Mormon Tabernacle Choir
504,305,852,Smoke! Smoke! Smoke!
505,3270,222,Kandukondain Kandukondain (Original Motion Picture Soundtrack)
506,3271,345,Rockin' At The Hops
507,304,851,"Stan ""The Man"" Turrentine"
508,3272,2135,Together Again
509,316,317,Hits Of The 50's
510,3273,860,Wish Upon A Star
511,3274,837,Last Month Of The Year
512,3275,183,The Fabulous Style Of The Everly Brothers
513,3276,249,At Newport
514,310,198,This Is Darin
515,3277,2133,15 Exitos De Enrique Guzman Vol. ll
516,311,827,In The Spotlight
517,3278,195,Reflections
518,3279,2136,Gregorian Chant
519,319,856,That's My Story
520,314,854,Flamingo Favorites
521,3280,154,Mel Torme: Swings Shubert Alley
522,313,616,Tell Me All About Yourself
523,3281,2137,On The Swingin' Side (Expanded Edition)
524,3282,2127,Greatest Hits
525,3283,2138,Trágico Destino
526,315,69,Copland: Super Hits
527,3284,830,Sonny Clark Trio
528,3285,2139,The Soul Of Ike & Tina Turner
529,3286,2140,Hawaiiannette
530,3287,1957,Masoom (Original Motion Picture Soundtrack)
531,3288,4,Mack The Knife: Ella In Berlin
532,3289,2127,B.M.O.C. (Best Music On/Off Campus)
533,3290,859,Portrait In Jazz
534,3291,2141,Ben Hur (Original Motion Picture Soundtrack) [Deluxe Version]
535,3292,1950,The Joy of Christmas - Original Album Classics
536,3293,2142,"Pachelbel: Canon; Albinoni: Adagio; Bach: Jesu, Joy of Man's Desiring; more"
537,3294,154,Swingin' On The Moon
538,3295,317,Cooke's Tour
539,3296,2143,Golden Days
540,3297,865,Dreamin'
541,3298,2144,Good Timin'
542,3299,2121,Revisited
543,3300,231,Lonely Blue Boy
544,3301,2145,Greatest Hits
545,3302,2146,James Darren No. 1
546,3303,175,Around Midnight
547,3304,218,Dominick the Donkey
548,3305,2147,La Historia
549,3306,257,That's Entertainment!
550,324,857,Dave Van Ronk Sings
551,3307,859,Sunday At The Village Vanguard [Keepnews Collection]
552,337,317,My Kind Of Blues
553,348,208,My Favorite Things
554,330,279,Aretha In Person with The Ray Bryant Combo (Expanded Edition)
555,340,742,Foggy Mountain Banjo
556,333,862,Ready For Freddie (Rudy Van Gelder Remaster Edition)
557,3308,828,Know What I Mean? [Original Jazz Classics Remasters]
558,3309,257,Judy At Carnegie Hall
559,3310,59,"Tara's Theme from ""Gone With The Wind"" and Other Movie Themes"
560,3311,0,Come Swing With Me! (Remastered)
561,342,3,"Bach: 6 Cello Suites BWV 1007, 1008, 1009, 1010, 1011 & 1012"
562,3312,26,Someday My Prince Will Come
563,345,867,Bobby Vee
564,343,208,Coltrane Jazz
565,3313,797,Steamin' With The Miles Davis Quintet
566,352,869,Que Gente Averiguá
567,3314,215,At the Rock House
568,3315,247,The Second Time Around
569,346,868,L'étonnant Serge Gainsbourg
570,341,865,Johnny Burnette
571,350,127,Unforgettable (Expanded Edition)
572,3316,1950,Babes in Toyland
573,3317,2148,The Best Of
574,3318,207,The Genius Sings the Blues
575,3319,2149,Listen To The Ahmad Jamal Quintet
576,3320,859,At The Village Vanguard
577,3321,2150,Right Or Wrong
578,3322,1959,Boss Tenors: Straight Ahead From Chicago August 1961
579,3323,2109,Motion
580,3324,208,Lush Life
581,3325,176,Breakfast at Tiffany's
582,3326,886,So Much Guitar!
583,3327,0,I Remember Tommy
584,3328,0,Swing Along With Me
585,3329,2151,Green Street (Rudy Van Gelder Edition)
586,3330,4,Ella Fitzgerald Sings The Harold Arlen Song Book
